catalog_type,item_id,image_url
art,001113ced9466672,https://dodo.ac/np/images/e/e3/Wild_Painting_Left_Half_NH_Texture.png
art,089f9e3046a98236,https://dodo.ac/np/images/f/f6/Academic_Painting_NH_Texture.png
art,139045fb4d296d76,https://dodo.ac/np/images/6/62/Tremendous_Statue_NH_Icon.png
art,17e95fd2029c1e24,https://dodo.ac/np/images/4/4a/Twinkling_Painting_NH_Texture.png
art,194f376b427c252e,https://dodo.ac/np/images/5/50/Moody_Painting_NH_Texture.png
art,19ec75883a813e6e,https://dodo.ac/np/images/3/34/Basic_Painting_NH_Texture.png
art,21c5f98e164fa4b3,https://dodo.ac/np/images/b/b0/Gallant_Statue_NH_Icon.png
art,4194532d1822253c,https://dodo.ac/np/images/4/42/Wistful_Painting_NH_Texture.png
art,42eb3545bb50bf84,https://dodo.ac/np/images/0/09/Moving_Painting_NH_Texture.png
art,4dac1f58d8d7afe8,https://dodo.ac/np/images/c/cb/Common_Painting_NH_Texture.png
art,4f7ffa56397f184d,https://dodo.ac/np/images/e/ed/Quaint_Painting_NH_Texture.png
art,5ae257c6fc4c388f,https://dodo.ac/np/images/4/47/Detailed_Painting_NH_Texture.png
art,6234bafc306d236e,https://dodo.ac/np/images/1/1e/Valiant_Statue_NH_Icon.png
art,6bb0ac41ce9af9bc,https://dodo.ac/np/images/5/5c/Warrior_Statue_NH_Icon.png
art,6cc4674674c46c24,https://dodo.ac/np/images/6/6c/Glowing_Painting_NH_Texture.png
art,709bf4c2efba04f3,https://dodo.ac/np/images/1/1f/Rock-Head_Statue_NH_Icon.png
art,7138dace8ac790d9,https://dodo.ac/np/images/9/9f/Beautiful_Statue_NH_Icon.png
art,748eaf5152af94b1,https://dodo.ac/np/images/e/e8/Mystic_Statue_NH_Icon.png
art,77267cbf6d7c0fdc,https://dodo.ac/np/images/6/6b/Perfect_Painting_NH_Texture.png
art,835506447d504365,https://dodo.ac/np/images/3/3d/Proper_Painting_NH_Texture.png
art,851acc8e80b7f726,https://dodo.ac/np/images/a/a8/Worthy_Painting_NH_Texture.png
art,874a42a6aa0dd7c0,https://dodo.ac/np/images/5/5d/Motherly_Statue_NH_Icon.png
art,88bf67e92e5c80af,https://dodo.ac/np/images/b/bb/Amazing_Painting_NH_Texture.png
art,8ad669233ccabcf0,https://dodo.ac/np/images/3/30/Calm_Painting_NH_Texture.png
