villager_id,image_url,icon_url,photo_url,house_exterior_url,house_interior_url
ant00,https://dodo.ac/np/images/4/48/Cyrano_NH.png,https://dodo.ac/np/images/b/b4/Cyrano_NH_Villager_Icon.png,https://dodo.ac/np/images/0/02/Cyrano%27s_Photo_NH_Texture.png,https://dodo.ac/np/images/2/25/House_of_Cyrano_NH_Model.png,https://dodo.ac/np/images/f/f5/House_of_Cyrano_NH.jpg
ant01,https://dodo.ac/np/images/d/d4/Antonio_NH.png,https://dodo.ac/np/images/3/34/Antonio_NH_Villager_Icon.png,https://dodo.ac/np/images/8/89/Antonio%27s_Photo_NH_Texture.png,https://dodo.ac/np/images/1/18/House_of_Antonio_NH_Model.png,https://dodo.ac/np/images/7/76/House_of_Antonio_NH.jpg
ant02,https://dodo.ac/np/images/d/d5/Pango_NH.png,https://dodo.ac/np/images/7/7f/Pango_NH_Villager_Icon.png,https://dodo.ac/np/images/5/53/Pango%27s_Photo_NH_Texture.png,https://dodo.ac/np/images/4/4f/House_of_Pango_NH_Model.png,https://dodo.ac/np/images/3/35/House_of_Pango_NH.jpg
ant03,https://dodo.ac/np/images/d/d8/Anabelle_NH.png,https://dodo.ac/np/images/b/ba/Anabelle_NH_Villager_Icon.png,https://dodo.ac/np/images/2/25/Anabelle%27s_Photo_NH_Texture.png,https://dodo.ac/np/images/9/96/House_of_Anabelle_NH_Model.png,https://dodo.ac/np/images/b/b9/House_of_Anabelle_NH.png
ant05,https://dodo.ac/np/images/0/0b/Zoe_amiibo.png,https://dodo.ac/np/images/0/08/Zoe_NH_Villager_Icon.png,https://dodo.ac/np/images/8/8c/Zoe%27s_Photo_NH_Texture.png,https://dodo.ac/np/images/1/1b/House_of_Zoe_NH_Exterior.jpg,https://dodo.ac/np/images/d/d8/House_of_Zoe_NH.jpg
ant06,https://dodo.ac/np/images/6/63/Snooty_NH.png,https://dodo.ac/np/images/7/79/Snooty_NH_Villager_Icon.png,https://dodo.ac/np/images/1/1f/Snooty%27s_Photo_NH_Texture.png,https://dodo.ac/np/images/2/25/House_of_Snooty_NH_Model.png,https://dodo.ac/np/images/8/85/House_of_Snooty_NH.jpg
ant08,https://dodo.ac/np/images/f/f0/Annalisa_NH.png,https://dodo.ac/np/images/3/3d/Annalisa_NH_Villager_Icon.png,https://dodo.ac/np/images/6/68/Annalisa%27s_Photo_NH_Texture.png,https://dodo.ac/np/images/4/4f/House_of_Annalisa_NH_Model.png,https://dodo.ac/np/images/e/e1/House_of_Annalisa_NH.jpg
ant09,https://dodo.ac/np/images/1/11/Olaf_NH.png,https://dodo.ac/np/images/7/78/Olaf_NH_Villager_Icon.png,https://dodo.ac/np/images/a/ab/Olaf%27s_Photo_NH_Texture.png,https://dodo.ac/np/images/d/d8/House_of_Olaf_NH_Model.png,https://dodo.ac/np/images/2/22/House_of_Olaf_NH.jpg
bea00,https://dodo.ac/np/images/b/b9/Teddy_NH.png,https://dodo.ac/np/images/b/bd/Teddy_NH_Villager_Icon.png,https://dodo.ac/np/images/b/bf/Teddy%27s_Photo_NH_Texture.png,https://dodo.ac/np/images/7/73/House_of_Teddy_NH_Model.png,https://dodo.ac/np/images/a/aa/House_of_Teddy_NH.jpg
bea01,https://dodo.ac/np/images/b/bf/Pinky_NH.png,https://dodo.ac/np/images/0/0f/Pinky_NH_Villager_Icon.png,https://dodo.ac/np/images/2/2c/Pinky%27s_Photo_NH_Texture.png,https://dodo.ac/np/images/0/0c/House_of_Pinky_NH_Model.png,https://dodo.ac/np/images/2/26/House_of_Pinky_NH.jpg
